name,lat,lng,accuracy
Alamo Square,37.7777446,-122.4333534,5
Ashbury Heights,37.7631171,-122.4501385,5
Bayview,37.727865,-122.3728739,5
Bernal Heights,37.7404204,-122.4195741,5
Castro,37.7625247,-122.4361676,5
CCSF,37.727194,-122.451753,5
Civic,37.7778532,-122.4178577,5
Cole Valley,37.7648287,-122.452712,5
Cow Hollow,37.7987801,-122.4374077,5
Diamond Heights,37.7410466,-122.4435918,5
Downtown,37.7927731,-122.4010922,5
Excelsior,37.724134,-122.4209454,5
Financial District,37.7927731,-122.4010922,5
Forest Hill,37.7480527,-122.4646272,5
Glen Park,37.7379098,-122.4321038,5
Haight Ashbury,37.7699298,-122.4469157,5
Hayes Valley,37.7746071,-122.4260718,5
Ingleside,37.7207279,-122.4549376,5
Inner Richmond,37.782788,-122.462554,5
Inner Sunset,37.762929,-122.466046,5
Laurel Heights,37.7842282,-122.4529064,5
Lower Haight,37.7717213,-122.433711,5
Lower Nob Hill,37.7890843,-122.4136579,5
Lower Pacific Heights,37.7862924,-122.4357759,5
Marina,37.8019775,-122.4371031,5
Mission District,37.7649217,-122.4219094,5
Nob Hill,37.7929437,-122.416112,5
Noe Valley,37.7490555,-122.4344773,5
Nopa,37.7749,-122.437474,5
North Beach,37.8047122,-122.4081963,5
Outer Mission,37.7220888,-122.4436351,5
Pacific Heights,37.7924282,-122.4349945,5
Panhandle,37.772674,-122.444725,5
Parkside,37.7328756,-122.4784722,5
Portola District,37.7270714,-122.4120226,5
Potrero Hill,37.758266,-122.392634,5
Presidio,37.7989746,-122.4661867,5
Richmond,37.7801608,-122.4791776,5
Russian Hill,37.8008489,-122.4159543,5
Seacliff,37.7828624,-122.4993276,5
SFSU,37.7245201,-122.4800536,5
Soma,37.7808157,-122.4024182,5
South Beach,37.7864283,-122.3954732,5
Sunset,37.7500392,-122.4840656,5
Telegraph Hill,37.8016668,-122.4061985,5
Tenderloin,37.7839296,-122.4130524,5
Treasure Island,37.8240901,-122.371087,5
Twin Peaks,37.752569,-122.447546,5
UCSF,37.763986,-122.457975,5
Upper Market,37.7529277,-122.4450824,5
USF,37.775749,-122.450386,5
Van Ness,37.7913264,-122.4224748,5
Visitacion Valley,37.7162374,-122.414285,5
West Portal,37.7393017,-122.4654827,5
Western Addition,37.779694,-122.4343415,5
